calcAzimuth,gesture,stepLength,timeMillis
24.278034,0,0.65,1575215784530
75.95717,0,0.65,1575215785090
8.102135,0,0.65,1575215785680
28.369669,0,0.65,1575215786260
39.154438,0,0.65,1575215786810
34.722084,0,0.65,1575215787400
51.084797,0,0.65,1575215787990
50.177685,0,0.65,1575215788610
99.49271,0,0.65,1575215789200
75.043625,0,0.65,1575215789790
43.915733,0,0.65,1575215790410
32.26705,0,0.65,1575215791010
44.775826,0,0.65,1575215791610
46.155483,0,0.65,1575215792220
28.820984,0,0.65,1575215792800
29.769363,0,0.65,1575215793370
55.259674,0,0.65,1575215793950
53.108097,0,0.65,1575215794520
45.287262,0,0.65,1575215795130
36.437634,0,0.65,1575215795750
36.440327,0,0.65,1575215796340
58.951942,0,0.65,1575215796960
75.181786,0,0.65,1575215797530
28.879799,0,0.65,1575215798120
52.030792,0,0.65,1575215798690
23.384186,0,0.65,1575215799260
25.432068,0,0.65,1575215799840
29.442154,0,0.65,1575215800440
19.405495,0,0.65,1575215801030
17.494602,0,0.65,1575215801610
18.45005,0,0.65,1575215802210
69.29562,0,0.65,1575215802800
26.82392,0,0.65,1575215803400
21.43452,0,0.65,1575215803950
38.60557,0,0.65,1575215804540
45.352898,0,0.65,1575215805120
50.029804,0,0.65,1575215805730
42.58325,0,0.65,1575215806360
14.513061,0,0.65,1575215806960
20.487625,0,0.65,1575215807550
26.30302,0,0.65,1575215808140
18.420216,0,0.65,1575215808750
20.429035,0,0.65,1575215809360
20.87354,0,0.65,1575215809950
20.651287,0,0.65,1575215810510
45.317665,0,0.65,1575215811110
42.661415,0,0.65,1575215811700
50.922325,0,0.65,1575215812270
23.508362,0,0.65,1575215812910
42.12381,0,0.65,1575215813480
26.493828,0,0.65,1575215814080
28.148417,0,0.65,1575215814650
22.750835,0,0.65,1575215815220
3.9680364,0,0.65,1575215815780
17.314034,0,0.65,1575215816390
15.039497,0,0.65,1575215817470
16.176765,0,0.65,1575215818000
48.0526,0,0.65,1575215818620
51.710224,0,0.65,1575215819200
35.127,0,0.65,1575215819790
43.418613,0,0.65,1575215820380
1.5883125,0,0.65,1575215820950
22.503462,0,0.65,1575215821560
17.930103,0,0.65,1575215822140
