,timeMillis,timeNanos,value
576,1573436620960,4702712626724916,1006.18945
577,1573436621040,4702712706724916,1006.19385
578,1573436621119,4702712786724916,1006.2236300000001
579,1573436621204,4702712866726479,1006.2539
580,1573436621279,4702712946726479,1006.2837
581,1573436621359,4702713026724916,1006.26904
582,1573436621439,4702713106724916,1006.2388
583,1573436621520,4702713186724916,1006.2236300000001
584,1573436621600,4702713266724916,1006.2241
585,1573436621680,4702713346724916,1006.2539
586,1573436621760,4702713426724916,1006.2842
587,1573436621839,4702713506724916,1006.3003
588,1573436621945,4702713586724916,1006.2705
589,1573436621999,4702713666724916,1006.2402300000001
590,1573436622079,4702713746724916,1006.21045
591,1573436622159,4702713826724916,1006.1826
592,1573436622239,4702713906726479,1006.2129
593,1573436622319,4702713986724916,1006.2427
594,1573436622399,4702714066724916,1006.27295
595,1573436622479,4702714146724916,1006.2578
596,1573436622559,4702714226724916,1006.2275400000001
597,1573436622639,4702714306724916,1006.2129
598,1573436622719,4702714386724916,1006.2046
599,1573436622799,4702714466724916,1006.2348599999999
600,1573436622879,4702714546724916,1006.26465
601,1573436622960,4702714626724916,1006.2798
602,1573436623054,4702714706726479,1006.2651400000001
603,1573436623119,4702714786724916,1006.23535
604,1573436623200,4702714866724916,1006.2051
605,1573436623279,4702714946726479,1006.1850599999999
606,1573436623359,4702715026724916,1006.2153300000001
607,1573436623439,4702715106724916,1006.2451
608,1573436623519,4702715186724916,1006.2754
609,1573436623600,4702715266724916,1006.26025
610,1573436623679,4702715346724916,1006.23
611,1573436623760,4702715426724916,1006.2002
612,1573436623841,4702715506724916,1006.1992
613,1573436623943,4702715586724916,1006.2295
614,1573436623999,4702715666724916,1006.2593
615,1573436624079,4702715746724916,1006.2744
616,1573436624159,4702715826724916,1006.2466
617,1573436624239,4702715906724916,1006.2163
618,1573436624320,4702715986724916,1006.1865
619,1573436624399,4702716066724916,1006.1606400000001
620,1573436624480,4702716146724916,1006.1899400000001
621,1573436624559,4702716226724916,1006.2202
622,1573436624641,4702716306724916,1006.25
623,1573436624719,4702716386724916,1006.2651400000001
624,1573436624799,4702716466724916,1006.23535
625,1573436624880,4702716546724916,1006.2051
626,1573436624959,4702716626726479,1006.1753
627,1573436625039,4702716706724916,1006.2051
628,1573436625119,4702716786724916,1006.23535
629,1573436625199,4702716866724916,1006.2651400000001
630,1573436625279,4702716946724916,1006.2803
631,1573436625359,4702717026724916,1006.25
632,1573436625439,4702717106724916,1006.2202
633,1573436625519,4702717186724916,1006.1899400000001
634,1573436625599,4702717266724916,1006.1924
635,1573436625679,4702717346724916,1006.2221699999999
636,1573436625759,4702717426724916,1006.2524400000001
637,1573436625854,4702717506724916,1006.2671
638,1573436625932,4702717586724916,1006.2373
639,1573436625999,4702717666724916,1006.20703
640,1573436626079,4702717746724916,1006.1924
641,1573436626160,4702717826724916,1006.2221699999999
642,1573436626239,4702717906724916,1006.2524400000001
643,1573436626319,4702717986724916,1006.2822
644,1573436626399,4702718066724916,1006.2739
645,1573436626480,4702718146724916,1006.2632
646,1573436626559,4702718226724916,1006.2510000000001
647,1573436626640,4702718306724916,1006.2212
648,1573436626719,4702718386724916,1006.20605
649,1573436626799,4702718466724916,1006.2363
